epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3875,1.89275,3.09051,1.77817,0.28729,0.298,0.20471,0.06997,2.23735,3.26116,2.14276,0.000662983,0.000662983,0.000662983
2,60.9088,2.05595,2.61193,1.91385,0.18563,0.18375,0.085,0.02793,2.41425,3.24287,2.39276,0.00128577,0.00128577,0.00128577
3,88.8096,2.07473,2.4114,1.96814,0.34244,0.24146,0.20817,0.07792,2.39082,2.86559,2.31407,0.00186456,0.00186456,0.00186456
4,116.523,2.02416,2.27816,1.93565,0.45902,0.41814,0.38534,0.14836,2.05378,2.9273,2.10136,0.001802,0.001802,0.001802
5,144.459,1.95294,2.12207,1.86862,0.44666,0.38634,0.35106,0.14263,2.05017,2.16797,2.003,0.001736,0.001736,0.001736
6,172.406,1.87403,2.01617,1.82463,0.59514,0.47961,0.52512,0.20721,1.972,1.88626,1.93935,0.00167,0.00167,0.00167
7,200.209,1.80568,1.86368,1.7585,0.62255,0.53946,0.57615,0.24805,1.86367,1.80421,1.90375,0.001604,0.001604,0.001604
8,227.983,1.80067,1.78932,1.74285,0.72235,0.55124,0.6254,0.27307,1.82927,1.66029,1.84008,0.001538,0.001538,0.001538
9,255.989,1.76659,1.69746,1.72411,0.66669,0.56073,0.63305,0.30895,1.83024,1.54407,1.82519,0.001472,0.001472,0.001472
10,283.568,1.73196,1.60199,1.67412,0.74789,0.64075,0.72325,0.33051,1.75499,1.43615,1.75579,0.001406,0.001406,0.001406
11,311.394,1.71079,1.59343,1.68167,0.71678,0.60811,0.67676,0.32999,1.76862,1.49471,1.77153,0.00134,0.00134,0.00134
12,339.721,1.67535,1.50304,1.63725,0.78751,0.57715,0.69153,0.33188,1.75609,1.48031,1.74595,0.001274,0.001274,0.001274
13,367.693,1.65296,1.47338,1.62153,0.77243,0.67964,0.75601,0.37663,1.73783,1.35454,1.72608,0.001208,0.001208,0.001208
14,395.491,1.61947,1.42279,1.59585,0.78744,0.70554,0.78263,0.39374,1.72357,1.27803,1.72409,0.001142,0.001142,0.001142
15,423.369,1.59473,1.35464,1.57269,0.76704,0.70584,0.76486,0.3869,1.66429,1.27403,1.66704,0.001076,0.001076,0.001076
16,451.309,1.58605,1.3415,1.5691,0.83685,0.73102,0.81678,0.43159,1.61191,1.13595,1.60473,0.00101,0.00101,0.00101
17,479.22,1.5811,1.32619,1.55719,0.82277,0.76005,0.82171,0.4301,1.61501,1.14867,1.62495,0.000944,0.000944,0.000944
18,507.375,1.53353,1.29602,1.52686,0.85604,0.7338,0.83828,0.43816,1.59566,1.1104,1.59418,0.000878,0.000878,0.000878
19,535.311,1.52841,1.2612,1.51877,0.87695,0.74912,0.84689,0.46648,1.56158,1.05442,1.56907,0.000812,0.000812,0.000812
20,563.123,1.49498,1.21855,1.49179,0.85283,0.75083,0.83185,0.45032,1.56753,1.09733,1.56902,0.000746,0.000746,0.000746
21,616.583,1.49534,0.99587,1.52757,0.86615,0.75458,0.84456,0.46204,1.59193,1.04784,1.58768,0.00068,0.00068,0.00068
22,643.689,1.446,0.94572,1.49765,0.85475,0.79015,0.85032,0.46651,1.56092,1.01294,1.57456,0.000614,0.000614,0.000614
23,670.862,1.42467,0.89285,1.48388,0.88439,0.8109,0.87074,0.48761,1.54442,0.95826,1.56154,0.000548,0.000548,0.000548
24,697.952,1.40995,0.86344,1.46724,0.8634,0.81147,0.8679,0.50002,1.50312,0.95762,1.522,0.000482,0.000482,0.000482
25,725.423,1.38649,0.83364,1.43966,0.88434,0.8105,0.88346,0.50245,1.5003,0.9223,1.52566,0.000416,0.000416,0.000416
26,752.612,1.352,0.80931,1.42592,0.87628,0.81979,0.88676,0.51004,1.4802,0.8971,1.50613,0.00035,0.00035,0.00035
27,779.92,1.32116,0.77374,1.39926,0.89153,0.83981,0.89867,0.52418,1.50228,0.84854,1.51503,0.000284,0.000284,0.000284
28,807.06,1.29946,0.76001,1.37969,0.89047,0.83274,0.90382,0.5341,1.46782,0.84935,1.50958,0.000218,0.000218,0.000218
29,834.322,1.28542,0.73099,1.3711,0.87527,0.85135,0.90835,0.53865,1.46501,0.83014,1.49297,0.000152,0.000152,0.000152
30,861.46,1.24906,0.70979,1.35079,0.89371,0.84923,0.91077,0.54019,1.45611,0.81395,1.48765,8.6e-05,8.6e-05,8.6e-05
