epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6167,1.95253,4.44253,2.0476,0.19766,0.1225,0.07156,0.02257,2.69974,4.31533,2.71001,0.000662983,0.000662983,0.000662983
2,105.08,2.119,3.2224,2.26287,0.10567,0.14016,0.06197,0.0246,2.30352,6.59114,2.65765,0.0013132,0.0013132,0.0013132
3,154.698,2.1166,2.73668,2.24983,0.30621,0.24146,0.17782,0.05832,2.3081,3.49152,2.58394,0.00194691,0.00194691,0.00194691
4,203.633,2.06735,2.54566,2.19648,0.44149,0.298,0.31031,0.11353,2.17352,2.64516,2.48267,0.00192575,0.00192575,0.00192575
5,252.514,1.96895,2.39812,2.12201,0.33069,0.29682,0.22181,0.07677,2.2333,2.73742,2.46971,0.001901,0.001901,0.001901
6,301.426,1.91977,2.22956,2.05258,0.43436,0.40069,0.37098,0.15798,2.02161,2.3304,2.25138,0.00187625,0.00187625,0.00187625
7,350.355,1.86237,2.11596,2.00601,0.4989,0.40872,0.43192,0.18108,1.99298,2.2274,2.20424,0.0018515,0.0018515,0.0018515
8,399.097,1.85704,2.02746,1.98005,0.53525,0.44994,0.47982,0.19306,1.94941,1.93662,2.15919,0.00182675,0.00182675,0.00182675
9,447.895,1.79604,1.93865,1.92769,0.59936,0.47821,0.5298,0.23492,1.87511,1.87979,2.10986,0.001802,0.001802,0.001802
10,496.673,1.78139,1.87713,1.91043,0.65879,0.52061,0.56365,0.24759,1.91753,1.77977,2.10728,0.00177725,0.00177725,0.00177725
11,545.563,1.77069,1.86393,1.90677,0.64342,0.51708,0.59075,0.28351,1.79413,1.76754,2.01374,0.0017525,0.0017525,0.0017525
12,594.358,1.73861,1.77331,1.86864,0.6857,0.5583,0.61388,0.28071,1.85621,1.71537,2.02151,0.00172775,0.00172775,0.00172775
13,643.207,1.72812,1.73378,1.84862,0.70744,0.55595,0.6238,0.29472,1.87197,1.7973,2.04655,0.001703,0.001703,0.001703
14,692.027,1.69813,1.67157,1.82022,0.74229,0.61131,0.68445,0.33263,1.78257,1.56848,1.95849,0.00167825,0.00167825,0.00167825
15,740.905,1.67958,1.61648,1.7989,0.71674,0.6172,0.67969,0.32607,1.77529,1.53507,1.99158,0.0016535,0.0016535,0.0016535
16,789.741,1.69071,1.63142,1.84707,0.69208,0.62073,0.68354,0.33882,1.78746,1.47551,1.98262,0.00162875,0.00162875,0.00162875
17,838.535,1.6771,1.57412,1.80162,0.75838,0.64696,0.7368,0.3631,1.74407,1.38875,1.92657,0.001604,0.001604,0.001604
18,887.202,1.62568,1.53384,1.76647,0.68638,0.65489,0.70228,0.31596,1.81469,1.46382,1.98542,0.00157925,0.00157925,0.00157925
19,936.128,1.6309,1.50114,1.75915,0.84199,0.71025,0.80647,0.40666,1.72344,1.24865,1.89449,0.0015545,0.0015545,0.0015545
20,984.692,1.59908,1.46872,1.74114,0.80069,0.66902,0.77707,0.40626,1.66302,1.30138,1.88953,0.00152975,0.00152975,0.00152975
21,1033.41,1.59302,1.41624,1.73103,0.81218,0.70436,0.79363,0.41023,1.67534,1.23671,1.8736,0.001505,0.001505,0.001505
